@@,itemlabel,item,startdate,enddate
---,K M Shafiullah,Q13057556,1972-04-07,1975-08-25
---,Ziaur Rahman,Q198313,1975-08-24,1975-11-03
---,Khaled Mosharraf,Q3349723,1975-11-03,1975-11-07
---,Ziaur Rahman,Q198313,1975-11-07,1978-04-28
---,Hussain Muhammad Ershad,Q461816,1978-12-29,1985-11-27
---,Atiqur Rahman,Q4815843,1986-08-31,1990-08-30
---,Nuruddin Khan,Q7070297,1990-08-31,1994-08-30
---,Abu Saleh Mohammad Nasim,Q4670336,1994-08-31,1996-05-19
---,Muhammad Mahbubur Rahman,Q6932591,1996-05-27,1997-12-23
->,Harun-Ar-Rashid->Mohammed Harun-Ar-Rashid,Q109332101,2000-12-24,2002-06-15
->,Moeen U Ahmed->Moeen Uddin Ahmed,Q6890056,2005-06-16,2009-06-15
->,Md Abdul Mubeen->Mohammed Abdul Mubeen,Q13059446,2009-06-16,2012-06-25
->,Abu Belal Muhammad Shafiul Huq->Abu Belal Muhammad Shafiul Haq,Q20265428,2015-06-25->2015-06-26,2018-06-25
